run_id,prompt_index,prompt_id,prompt_area,prompt_source,variant,score,passed,required_missing,forbidden_hits
dpo_naive_v6,1,fixed_01,LoRA definition,original_fixed_prompt,base_answer,-2,False,parameter-efficient; low-rank; not wireless LoRa; frozen base model; adapter/linear layers,wrong LoRA expansion
dpo_naive_v6,1,fixed_01,LoRA definition,original_fixed_prompt,public_sft_answer,-2,False,parameter-efficient; low-rank; not wireless LoRa; frozen base model; adapter/linear layers,wrong LoRA expansion
dpo_naive_v6,1,fixed_01,LoRA definition,original_fixed_prompt,custom_sft_v3_answer,5,True,,
dpo_naive_v6,1,fixed_01,LoRA definition,original_fixed_prompt,dpo_tiny_answer,5,True,,
dpo_naive_v6,2,fixed_02,SFT and LoRA relation,original_fixed_prompt,base_answer,-2,False,supervised fine-tuning; training objective/data form; LoRA parameter-efficient; LoRA SFT relation,network/shortest expansion
dpo_naive_v6,2,fixed_02,SFT and LoRA relation,original_fixed_prompt,public_sft_answer,-4,False,supervised fine-tuning; training objective/data form; LoRA parameter-efficient; LoRA SFT relation,network/shortest expansion; architecture confusion
dpo_naive_v6,2,fixed_02,SFT and LoRA relation,original_fixed_prompt,custom_sft_v3_answer,4,True,,
dpo_naive_v6,2,fixed_02,SFT and LoRA relation,original_fixed_prompt,dpo_tiny_answer,4,True,,
dpo_naive_v6,3,fixed_03,DPO vs SFT,original_fixed_prompt,base_answer,-2,False,SFT imitation; DPO preference pairs; prefer chosen; SFT before DPO,data preprocessing expansion
dpo_naive_v6,3,fixed_03,DPO vs SFT,original_fixed_prompt,public_sft_answer,-2,False,SFT imitation; DPO preference pairs; prefer chosen; SFT before DPO,security/privacy expansion
dpo_naive_v6,3,fixed_03,DPO vs SFT,original_fixed_prompt,custom_sft_v3_answer,4,True,,
dpo_naive_v6,3,fixed_03,DPO vs SFT,original_fixed_prompt,dpo_tiny_answer,4,True,,
dpo_naive_v6,4,fixed_04,Public-SFT motivation,original_fixed_prompt,base_answer,0,False,public baseline; engineering loop works; target concepts not solved; Stage 2B data repair,
dpo_naive_v6,4,fixed_04,Public-SFT motivation,original_fixed_prompt,public_sft_answer,0,False,public baseline; engineering loop works; target concepts not solved; Stage 2B data repair,
dpo_naive_v6,4,fixed_04,Public-SFT motivation,original_fixed_prompt,custom_sft_v3_answer,4,True,,
dpo_naive_v6,4,fixed_04,Public-SFT motivation,original_fixed_prompt,dpo_tiny_answer,4,True,,
dpo_naive_v6,5,fixed_05,Data pipeline,original_fixed_prompt,base_answer,-1,False,instruction-answer conversion; Qwen chat JSONL,generic sensor data; tabular preprocessing confusion
dpo_naive_v6,5,fixed_05,Data pipeline,original_fixed_prompt,public_sft_answer,-1,False,instruction-answer conversion; Qwen chat JSONL,generic sensor data; tabular preprocessing confusion
dpo_naive_v6,5,fixed_05,Data pipeline,original_fixed_prompt,custom_sft_v3_answer,5,True,,
dpo_naive_v6,5,fixed_05,Data pipeline,original_fixed_prompt,dpo_tiny_answer,5,True,,
dpo_naive_v6,6,fixed_06,DPO VRAM risk,original_fixed_prompt,base_answer,1,False,chosen/rejected memory; reference policy; 8GB risk; small batch/short length,
dpo_naive_v6,6,fixed_06,DPO VRAM risk,original_fixed_prompt,public_sft_answer,-1,False,chosen/rejected memory; reference policy; small batch/short length; LoRA/small pairs,memory leak generic
dpo_naive_v6,6,fixed_06,DPO VRAM risk,original_fixed_prompt,custom_sft_v3_answer,5,True,,
dpo_naive_v6,6,fixed_06,DPO VRAM risk,original_fixed_prompt,dpo_tiny_answer,5,True,,
dpo_naive_v6,7,fixed_07,Loss vs behavior,original_fixed_prompt,base_answer,2,False,not sufficient; fixed prompt behavior; badcase/regression; project example,
dpo_naive_v6,7,fixed_07,Loss vs behavior,original_fixed_prompt,public_sft_answer,2,False,not sufficient; fixed prompt behavior; badcase/regression; project example,
dpo_naive_v6,7,fixed_07,Loss vs behavior,original_fixed_prompt,custom_sft_v3_answer,2,False,loss average signal; not sufficient; badcase/regression; metric split,
dpo_naive_v6,7,fixed_07,Loss vs behavior,original_fixed_prompt,dpo_tiny_answer,2,False,loss average signal; fixed prompt behavior; badcase/regression; metric split,
dpo_naive_v6,8,fixed_08,Interview data pipeline,original_fixed_prompt,base_answer,0,False,public baseline; train/save/load; Stage 4A badcase; Stage 2B pipeline; instruction-answer,
dpo_naive_v6,8,fixed_08,Interview data pipeline,original_fixed_prompt,public_sft_answer,-2,False,public baseline; train/save/load; Stage 4A badcase; Stage 2B pipeline; instruction-answer,generic business data
dpo_naive_v6,8,fixed_08,Interview data pipeline,original_fixed_prompt,custom_sft_v3_answer,5,True,,
dpo_naive_v6,8,fixed_08,Interview data pipeline,original_fixed_prompt,dpo_tiny_answer,5,True,,
dpo_naive_v6,9,stage5h_p7_holdout_01,Loss vs behavior,stage5h_prompt7_holdout,base_answer,2,False,not sufficient; fixed prompt behavior; badcase/regression; project example,
dpo_naive_v6,9,stage5h_p7_holdout_01,Loss vs behavior,stage5h_prompt7_holdout,public_sft_answer,2,False,loss average signal; not sufficient; badcase/regression; project example,
dpo_naive_v6,9,stage5h_p7_holdout_01,Loss vs behavior,stage5h_prompt7_holdout,custom_sft_v3_answer,2,False,loss average signal; not sufficient; fixed prompt behavior; metric split,
dpo_naive_v6,9,stage5h_p7_holdout_01,Loss vs behavior,stage5h_prompt7_holdout,dpo_tiny_answer,4,False,not sufficient; project example,
